Date,RSI,MACD,SMA_5,SMA_10,SMA_50,SMA_100,BB_lower,BB_upper,Open,Close,Volume,Exit,Long,Short,Running
2010-05-26,-14.315371256307754,-1.2800958828634934,87.05605010986328,89.36743621826172,94.22036407470704,91.95416244506836,84.79002054521952,98.8403955619582,108.4800033569336,86.4911117553711,349719300.0,0,1,0,True
2010-05-27,-237.00302514653015,-1.1950468880220468,87.57578887939454,88.94534835815429,94.12578216552734,91.93717247009278,84.85058562813117,97.96471359672233,109.19000244140625,89.38842010498047,300870500.0,0,0,1,True
2010-05-28,-10.235654796214156,-1.151180295558409,87.61775665283203,88.58056335449218,94.00972869873047,91.90655326843262,84.68318031718275,97.37026740620593,110.63999938964844,88.26663208007812,297933500.0,0,0,1,True
2010-06-01,-8.373482037299002,-1.1535693911798712,87.58870391845703,88.06243896484375,93.87349868774415,91.86044136047363,84.58736099505224,96.43145232892236,108.3499984741211,86.78164672851562,277909400.0,0,1,0,True
2010-06-02,-11.41863614636996,-1.0581755771222032,87.99384002685547,87.89538040161133,93.77245635986328,91.83306854248048,84.63230135357274,95.80624387347804,108.08000183105469,89.04138946533203,240243700.0,1,0,0,True
2010-06-03,-16.117279076720894,-0.9556693016970307,88.56522674560547,87.81063842773438,93.66431167602539,91.80570854187012,84.71456904883227,95.23087009911696,110.6500015258789,89.3480453491211,226618300.0,0,0,1,True
2010-06-04,-12.036754756136041,-0.972307306375112,87.9292709350586,87.75252990722656,93.50257934570313,91.74566818237305,84.2409230180196,95.21060133500774,108.61000061035156,86.2086410522461,398475600.0,0,0,1,True
2010-06-07,-9.988244588543836,-1.0095901086229127,87.3030029296875,87.46037979125977,93.32244659423829,91.68349449157715,83.63711390078625,95.34874577938955,107.19999694824219,85.13529205322266,264609100.0,0,1,0,True
2010-06-08,-16.574454339523893,-0.9913238789352629,87.15612335205078,87.3724136352539,93.1616828918457,91.62272468566894,83.41963472734568,94.79630231489065,105.56999969482422,86.04724884033203,357774300.0,1,0,0,True
2010-06-09,-16.777680465026187,-0.9778357616676454,86.46529388427734,87.22956695556641,92.97977478027343,91.55486328125,83.21000208622574,94.21664433711409,107.23999786376953,85.58724212646484,268023300.0,0,1,0,True
2010-06-10,78.7577213049299,-0.8617536200994008,86.2134994506836,87.38936309814453,92.84661209106446,91.52238807678222,83.67428874975401,93.08251056665223,107.86000061035156,88.08907318115234,317890600.0,1,0,0,True
2010-06-11,204.20196358088197,-0.7393921243056516,86.67513732910156,87.30220413208008,92.72846069335938,91.4827774810791,84.11139202362685,92.13616046660752,108.19000244140625,88.51683044433594,214128200.0,1,0,0,True
2010-06-14,64.66522417297325,-0.6337503073732995,87.32400512695312,87.31350402832031,92.59465301513671,91.45119857788086,84.34754305534325,91.54652432746924,110.5199966430664,88.37963104248047,207196100.0,0,1,0,True
2010-06-15,33.540775686794234,-0.465686850779063,88.1923843383789,87.67425384521485,92.48553985595703,91.45731658935547,84.58343520902872,91.15325760102988,110.27999877929688,90.38914489746094,238268700.0,1,0,0,True
2010-06-16,29.269067190321596,-0.32314605307731337,89.1463134765625,87.80580368041993,92.37126220703125,91.483125,84.62713011297407,91.07405396905719,111.41999816894531,90.35688781738281,216374000.0,1,0,0,True
2010-06-17,76.88409817985028,-0.19650860189068542,89.62892608642578,87.92121276855468,92.2708657836914,91.50588523864747,84.59296100186211,91.13889019442695,112.27999877929688,90.50213623046875,263185800.0,1,0,0,True
2010-06-18,37.11300367797303,-0.08596081921815046,90.04561462402344,88.3603759765625,92.1658137512207,91.53332412719726,84.6083153828903,91.50459050089877,111.83000183105469,90.60027313232422,174006600.0,1,0,0,True
2010-06-21,24.334120037813264,-0.002609969134478307,90.4378448486328,88.88092498779297,92.04298217773437,91.553988571167,84.57436250067836,91.76694227837437,113.12000274658203,90.34078216552734,213140700.0,0,0,1,True
2010-06-22,-332.305529150824,0.013599618257941426,90.12976837158203,89.16107635498047,91.88724349975585,91.56985969543457,84.70787341144877,91.82561657878561,111.41000366210938,88.84876251220703,239355400.0,1,0,0,True
2010-06-23,-78.63860996259109,0.01953301116668449,89.77300109863282,89.45965728759765,91.72453781127929,91.59245788574219,84.8331598919916,91.85606435117246,109.63999938964844,88.57305145263672,254639900.0,0,0,1,True
2010-06-24,67.96367039605227,-0.025630227052556798,89.09364624023438,89.36128616333008,91.51052703857422,91.58695686340332,84.9218649814881,91.82878427998652,108.69000244140625,87.10536193847656,268523600.0,1,0,0,True
2010-06-25,27.663569113341698,-0.04526090777282166,88.46764221191407,89.25662841796876,91.30220016479493,91.57449546813965,84.83790051846933,91.72093203157951,107.73999786376953,87.47025299072266,238726500.0,1,0,0,True
2010-06-28,48.35220811693279,-0.06718044101535936,87.83839263916016,89.13811874389648,91.11951034545899,91.56369743347167,84.75022793291912,91.70139483929769,108.02999877929688,87.19453430175781,169218600.0,0,0,1,True
2010-06-29,-51.13514729979673,-0.17735544368596434,86.96911926269532,88.54944381713867,90.8757145690918,91.55322463989258,84.3033556722563,91.92034199009721,106.0199966430664,84.50239562988281,373649500.0,0,0,1,True
2010-06-30,-6.938371128967498,-0.28875340469939825,85.99443817138672,87.88371963500977,90.59859344482422,91.5329557800293,83.58791027435288,92.1016130410768,103.91999816894531,83.69964599609375,284101700.0,1,0,0,True
2010-07-01,-5.043701822158721,-0.3840983005500118,85.23868865966797,87.16616744995117,90.31756179809571,91.51514556884766,82.90031035112044,92.18706986738543,103.1500015258789,83.32661437988281,382924800.0,1,0,0,True
2010-07-02,-4.753459955945309,-0.46809792980731624,84.31913909912109,86.39339065551758,90.0216374206543,91.48210487365722,82.31108974376248,92.44267688831759,103.11000061035156,82.87250518798828,233385200.0,1,0,0,True
2010-07-06,-1.6514315535876634,-0.5059341318915265,83.56339721679687,85.70089492797851,89.72382858276367,91.45618492126465,82.0110937618616,92.57072615390989,103.63999938964844,83.41582489013672,256935300.0,0,1,0,True
2010-07-07,-8.759943970655337,-0.4313697071764808,83.87153625488281,85.42032775878906,89.48599014282226,91.44753578186035,82.01067934334975,92.57072477041979,103.12999725341797,86.0430908203125,253769400.0,0,1,0,True
2010-07-08,-12.43217294023352,-0.3315294240546045,84.51051177978516,85.25247497558594,89.3115040588379,91.44812461853027,82.13277272231855,92.57935954086506,107.0,86.89452362060547,210842100.0,1,0,0,True
2010-07-09,-16.47236017869176,-0.2200159420880905,85.35383911132813,85.29626388549805,89.13546585083007,91.44153678894043,82.1159141177988,92.54163593102932,107.12999725341797,87.54325103759766,144999900.0,1,0,0,True
2010-07-12,-18.579791394682708,-0.1218775741633964,86.29933319091796,85.30923614501953,88.93667358398437,91.43133697509765,82.09801168883507,92.46785287415321,107.5999984741211,87.5999755859375,131283600.0,0,1,0,True
2010-07-13,878.9461578672222,0.009664966211055503,87.40051574707032,85.4819564819336,88.79740539550781,91.42913047790528,82.09539429716177,92.5246809286683,109.1500015258789,88.92173767089844,213025900.0,1,0,0,True
2010-07-14,188.3315412186384,0.11839021905982294,87.97462310791016,85.92307968139649,88.63311813354493,91.42499435424804,82.16526807482906,92.30725542370611,109.30999755859375,88.91362762451172,184426800.0,1,0,0,True
2010-07-15,35.132866783512284,0.20850586477321054,88.38331146240235,86.44691162109375,88.51499603271485,91.4209407043457,82.24055624389082,92.0900750122127,109.61000061035156,88.9379653930664,232337900.0,0,0,1,True
2010-07-16,-61.902706821875476,0.193660606281834,88.17248229980468,86.7631607055664,88.35919601440429,91.40324913024902,82.29177183473692,91.63755632078065,109.08999633789062,86.48910522460938,282693400.0,1,0,0,True
2010-07-19,-338.3502567922526,0.20123961103426402,88.05247344970704,87.1759033203125,88.27623886108398,91.38254806518555,82.43527082877978,91.1340231470503,107.05000305175781,86.99993133544922,186709000.0,0,1,0,True
2010-07-20,21.803176463848338,0.24289977363476334,87.8611068725586,87.63081130981445,88.23969818115235,91.37270210266114,82.60523952707184,90.72646671072111,105.87000274658203,87.96490478515625,258162400.0,0,0,1,True
2010-07-21,24.182189203059703,0.2355012202957929,87.44268493652343,87.70865402221679,88.10119903564453,91.35085990905762,82.63419238525707,90.49478939574878,109.04000091552734,86.82151794433594,264527000.0,0,1,0,True
2010-07-22,17.462751331964625,0.29950488581297496,87.40700225830078,87.89515686035156,88.006787109375,91.33915489196778,82.62262266062692,90.52500917531057,108.33999633789062,88.75955200195312,274781300.0,0,1,0,True
2010-07-23,15.408057318490302,0.37775278365342957,88.0151611328125,88.0938217163086,87.9016342163086,91.33266174316407,82.53208259024626,90.85800301156038,109.23999786376953,89.52989959716797,222020800.0,0,1,0,True
2010-07-26,15.109358810148429,0.47203989065727225,88.70765838623046,88.38006591796875,87.83869659423829,91.33469024658203,82.36162717527996,91.32767488770831,110.5999984741211,90.46241760253906,184445700.0,1,0,0,True
2010-07-27,18.18023957688356,0.5439680752903877,89.20553741455078,88.53332214355468,87.80949295043945,91.3339045715332,82.2428787123439,91.7723999131444,112.16999816894531,90.45429992675781,204855600.0,1,0,0,True
2010-07-28,24.087314100542727,0.5762038516664987,89.81532745361328,88.62900619506836,87.76764450073242,91.31434043884278,82.50071787662704,92.05136799983781,111.31999969482422,89.87046813964844,163056200.0,1,0,0,True
2010-07-29,34.50696376580426,0.5813199518280763,89.94993438720704,88.6784683227539,87.74205673217773,91.29023696899414,83.00812141070622,92.11725853314144,111.5199966430664,89.43258666992188,220149100.0,1,0,0,True
